link,title,price,area,location,posted_date
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-47-2-phuong-thao-dien/-sieu-re-khuon-dat-dep-gia-70-ty-giam-con-56-ty-nam-chia-khoa-xem-ngay-pr42833614,Biệt thự Thảo Điền siêu rẻ khuôn đất đẹp giá 70 tỷ giảm còn 56 tỷ - nắm chìa khóa xem nhà ngay,"56,44 tỷ",332 m²,"Quận 2, Hồ Chí Minh",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-van-huong-phuong-thao-dien-prj-thao-dien-green/chinh-thuc-nhan-booking-penthouse-323m2-400m2-ck-6-9-pr42871659,"Chính Thức Nhận Booking Penthouse Thảo Điền Green, 323m2 - 400m2, CK 6-9%",80 tỷ,323 m²,"Quận 2, Hồ Chí Minh",
https://batdongsan.com.vn/ban-dat-duong-quoc-lo-51-phuong-phuoc-tan-prj-bien-hoa-new-city/can-ban-nen-da-co-so-trong-san-golf-long-thanh-dt-6x18m-so-do-cong-chung-ngay-trong-ngay-pr42871916,"Cần Bán Đất Nền Đã Có Sổ Trong Sân Golf Long Thành DT 6x18m, Sổ Đỏ Công Chứng Ngay Trong Ngày","2,1 tỷ",108 m²,"Biên Hòa, Đồng Nai",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-mai-chi-tho-phuong-an-phu-prj-the-sun-avenue/ban-gap-officetel-2pn-full-noi-that-avenue-pr42871896,BÁN GẤP OFFICETEL 2PN FULL NỘI THẤT THE SUN AVENUE,"3,2 tỷ",46 m²,"Quận 2, Hồ Chí Minh",
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-huynh-tan-phat-xa-phu-xuan-prj-amelie-villa-phu-my-hung/ban-cat-lo-can-pho-re-t-thi-truong-9-ty-lh-mr-toan-pr41611912,Bán độc quyền căn nhà phố góc Amelie Phú Mỹ Hưng rẻ nhất 9.4 tỷ LH Mr Toàn0901 828 ***,"9,4 tỷ",120 m²,"Nhà Bè, Hồ Chí Minh",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-luong-bang-1-phuong-phu-my-9-prj-the-peak-garden/nhuong-lai-2pn-2wc-gia-dot-dau-1-9-ty-chenh-nhe-lh-mr-toan-pr42696701,Nhượng lại căn The Peak Garden 2PN 2WC giá đợt đầu 1.9 tỷ chênh nhẹ LH Mr Toàn0901 828 ***,"1,9 tỷ",70 m²,"Quận 7, Hồ Chí Minh",
https://batdongsan.com.vn/ban-dat-duong-nguyen-thi-hanh-thi-tran-hau-nghia/-dep-mat-tien-duc-hoa-long-an-pr42869343,"ĐẤT ĐẸP MẶT TIỀN NGUYỄN THỊ HẠNH, HẬU NGHĨA, ĐỨC HÒA, LONG AN.","1,4 tỷ",94 m²,"Đức Hòa, Long An",
https://batdongsan.com.vn/ban-nha-rieng-duong-pham-van-chieu-phuong-14-8/sieu-chdv-p14-go-vap-6-5x18m-6-tang-25chdv-hxh-thong-cho-thue-khoan-78tr-th-pr42861993,"Siêu phẩm CHDV Phạm Văn Chiêu P14 Gò Vấp, 6.5x18m, 6 tầng 25CHDV, HXH thông, cho thuê khoán 78tr/th",22 tỷ,118 m²,"Gò Vấp, Hồ Chí Minh",
https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-kiem-phuong-3-20/ban-p-3-go-vap-8m-thong-4x18m-4-tang-btct-5pn-cho-thue-khoan-33tr-thang-pr42861356,"Bán nhà Nguyễn Kiệm P.3 Gò Vấp, đường 8m thông, 4x18m, 4 tầng BTCT 5PN, cho thuê khoán 33tr/tháng","17,6 tỷ",72 m²,"Gò Vấp, Hồ Chí Minh",
https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-phuong-lam-ha_1-prj-sun-urban-city/suat-ngoai-giao-towhouse-dt-160m-xay-5-tang-ham-chi-tu-6-5-ty-25-du-an-ha-nam-pr42688507,Suất ngoại giao Towhouse DT 160m2 xây 5 tầng + hầm chỉ từ 6.5 tỷ (25%) dự án Sun Urban City Hà Nam,26 tỷ,160 m²,"Phủ Lý, Hà Nam",
https://batdongsan.com.vn/ban-dat-phuong-tan-phuoc-1/-thanh-pho-phu-my-gia-mem-cho-nha-dau-tu-pr42869287,"ĐẤT THÀNH PHỐ PHÚ MỸ- GIÁ ĐẦU TƯ, CƠ HỘI SINH LỜI NHANH!","1,4 tỷ",160 m²,"Phú Mỹ, Bà Rịa Vũng Tàu",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-luong-bang-1-phuong-phu-my-9-prj-q7-boulevard/-chi-tu-2-299-ty-70m2-2pn-2wc-xem-bai-phan-tich-pr39461781,57m2 2PN 1WC - 2.15 tỷ - 99 căn Q7 Boulevard 02/05/2025 - Pháp lý hợp đồng đặt cọc - Nhận ký gửi,"2,15 tỷ",57 m²,"Quận 7, Hồ Chí Minh",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-co-thach-phuong-an-khanh-prj-zeit-river-thu-thiem/chinh-chu-ban-1pn-tang-san-vuon-chi-mot-duy-nhat-gia-sieu-tot-thanh-toan-toi-07-2025-pr42612166,"Chính chủ cần bán căn 1PN tầng sân vườn, chỉ một căn duy nhất, giá siêu tốt, thanh toán tới 07/2025","9,68 tỷ",60 m²,"Quận 2, Hồ Chí Minh",
https://batdongsan.com.vn/ban-nha-rieng-thi-tran-chuc-son/chinh-chu-ban-4-tang-tai-tt-phuong-chuong-my-moi-dep-nhieu-tien-ich-pr42869170,"CHÍNH CHỦ BÁN NHÀ 4 TẦNG tại TT Chúc Sơn (phường Chương Mỹ), nhà mới, đẹp, nhiều tiện ích","5,5 tỷ","50,5 m²","Chương Mỹ, Hà Nội",
